id_x,host_id,host_response_rate,host_is_superhost,host_listings_count,accommodates,bathrooms,bedrooms,beds,price,avg_rating,number_of_reviews,neighbourhood_cleansed,property_type,neighbourhood_cleansed_freq,property_type_freq
847683287554068955,29866968,1.0,1,2.0,2.0,1.0,1.0,1.0,100.0,4.965714285714285,441,Dublin City,Private room in home,0.6807995154451847,0.20714718352513628
849197800886816952,477816136,1.0,0,24.0,8.0,4.0,4.0,4.0,297.0,4.687142857142858,1521,Dublin City,Entire home,0.6807995154451847,0.18655360387643852
849745281160828370,113300106,0.86,0,1.0,2.0,1.0,1.0,1.0,80.0,4.88,196,Dublin City,Private room in condo,0.6807995154451847,0.04784978800726832
851187964066973520,461345001,1.0,0,1.0,2.0,1.0,1.0,1.0,94.0,4.652857142857143,4096,Dublin City,Private room in rental unit,0.6807995154451847,0.04118715929739552
851412250430345998,194247866,0.77,0,23.0,1.0,1.5,1.0,1.0,95.0,4.52,64,South Dublin,Private room in home,0.06117504542701393,0.20714718352513628
852292891450152130,19466175,1.0,1,1.0,8.0,2.0,3.0,4.0,781.0,4.947142857142857,9409,Dublin City,Entire townhouse,0.6807995154451847,0.03210175651120533
854964576959009866,77676625,1.0,1,1.0,6.0,1.5,4.0,4.0,297.0,4.872857142857143,5041,Fingal,Entire home,0.12295578437310721,0.18655360387643852
855002806961975847,208290165,1.0,1,3.0,2.0,1.0,1.0,1.0,109.0,4.9071428571428575,16900,Dublin City,Private room in home,0.6807995154451847,0.20714718352513628
855125429112907903,46320085,1.0,1,1.0,9.0,2.5,5.0,7.0,650.0,4.951428571428571,144,Dublin City,Entire home,0.6807995154451847,0.18655360387643852
855503411057969694,392619693,1.0,1,1.0,2.0,1.0,1.0,1.0,139.0,4.942857142857143,19600,South Dublin,Entire cabin,0.06117504542701393,0.006662628709872804
857108186535586403,507456482,1.0,1,1.0,6.0,3.0,2.0,2.0,367.0,4.958571428571429,841,Dublin City,Entire townhouse,0.6807995154451847,0.03210175651120533
857775514602583936,479592783,1.0,0,3.0,2.0,1.0,1.0,1.0,100.0,4.772857142857142,49,Dublin City,Private room in rental unit,0.6807995154451847,0.04118715929739552
858548006328633047,477816136,1.0,0,24.0,2.0,1.5,1.0,1.0,104.0,4.7857142857142865,400,Dublin City,Entire home,0.6807995154451847,0.18655360387643852
859118179782872358,507880708,1.0,1,2.0,2.0,1.5,1.0,1.0,171.0,4.791428571428571,45796,Dublin City,Entire condo,0.6807995154451847,0.08661417322834646
859255967038218780,1699853,1.0,1,1.0,2.0,1.0,1.0,1.0,95.0,4.92,625,South Dublin,Private room in home,0.06117504542701393,0.20714718352513628
861360807170915973,117268931,1.0,0,1.0,1.0,1.0,1.0,1.0,59.0,4.741428571428572,12321,Fingal,Private room in home,0.12295578437310721,0.20714718352513628
861581318435840185,89117294,1.0,1,2.0,1.0,0.5,1.0,1.0,55.0,4.877142857142857,10816,Fingal,Private room in townhouse,0.12295578437310721,0.03331314354936402
863696439331320529,91692766,0.92,0,5.0,6.0,4.5,2.0,2.0,247.0,4.729999999999999,3364,Dublin City,Entire rental unit,0.6807995154451847,0.21562689279224712
869256218630348537,18959968,1.0,0,3.0,6.0,2.5,3.0,4.0,239.0,4.708571428571429,3249,Dn Laoghaire-Rathdown,Entire home,0.13506965475469412,0.18655360387643852
869327039473405811,17754704,1.0,0,1.0,1.0,1.0,1.0,2.0,65.0,4.964285714285714,16,South Dublin,Private room in home,0.06117504542701393,0.20714718352513628
870854578813471424,160759980,0.5,0,1.0,6.0,1.5,2.0,2.0,476.0,4.842857142857143,100,Dn Laoghaire-Rathdown,Entire home,0.13506965475469412,0.18655360387643852
872906239705923363,272688682,1.0,0,2.0,2.0,2.0,1.0,1.0,66.0,4.894285714285714,7569,Dn Laoghaire-Rathdown,Private room in home,0.13506965475469412,0.20714718352513628
872977669345904288,203968340,1.0,0,1.0,2.0,1.0,1.0,1.0,210.0,4.898571428571429,49,Dublin City,Entire home,0.6807995154451847,0.18655360387643852
873020531929472843,151410205,1.0,1,1.0,1.0,0.5,1.0,1.0,41.0,4.788571428571428,15876,South Dublin,Private room in home,0.06117504542701393,0.20714718352513628
873320458267847723,18080312,0.97,0,6.0,2.0,1.0,1.0,1.0,75.0,4.851428571428572,7056,Fingal,Private room in rental unit,0.12295578437310721,0.04118715929739552
874388833283492980,18080312,0.97,0,6.0,2.0,1.0,1.0,1.0,57.0,4.7542857142857144,8464,Fingal,Private room in rental unit,0.12295578437310721,0.04118715929739552
876068698372021279,94248825,1.0,1,2.0,1.0,1.0,1.0,1.0,42.0,4.932857142857143,7921,South Dublin,Private room in condo,0.06117504542701393,0.04784978800726832
877340753703260165,40105593,0.9,0,3.0,1.0,1.0,1.0,1.0,65.0,4.839999999999999,729,Fingal,Private room in home,0.12295578437310721,0.20714718352513628
878659702471921329,439115207,1.0,1,3.0,6.0,1.0,3.0,4.0,535.0,4.914285714285714,400,Dn Laoghaire-Rathdown,Entire home,0.13506965475469412,0.18655360387643852
